Time,id,iq,Te,omega_m
0.033,1.298,7.716,4.575,13.587
0.033,1.297,7.708,4.570,13.627
0.033,1.297,7.699,4.565,13.668
0.033,1.296,7.691,4.560,13.709
0.033,1.296,7.683,4.555,13.749
0.033,1.295,7.674,4.550,13.790
0.034,1.295,7.666,4.545,13.830
0.034,1.294,7.658,4.540,13.871
0.034,1.294,7.650,4.535,13.911
0.034,1.293,7.642,4.531,13.951
0.034,1.293,7.634,4.526,13.991
0.034,1.292,7.626,4.521,14.032
0.034,1.291,7.618,4.516,14.072
0.034,1.291,7.610,4.512,14.112
0.034,1.290,7.603,4.507,14.152
0.034,1.289,7.595,4.503,14.192
0.035,1.289,7.587,4.498,14.232
0.035,1.288,7.580,4.494,14.272
0.035,1.287,7.572,4.489,14.312
0.035,1.286,7.565,4.485,14.352
0.035,1.285,7.558,4.481,14.391
0.035,1.285,7.550,4.476,14.431
0.035,1.284,7.543,4.472,14.471
0.035,1.283,7.536,4.468,14.511
0.035,1.282,7.529,4.464,14.550
0.035,1.281,7.522,4.459,14.590
0.036,1.280,7.515,4.455,14.629
0.036,1.279,7.508,4.451,14.669
0.036,1.278,7.501,4.447,14.708
0.036,1.277,7.494,4.443,14.748
0.036,1.277,7.487,4.439,14.787
0.036,1.276,7.481,4.435,14.827
0.036,1.275,7.474,4.431,14.866
0.036,1.274,7.467,4.427,14.905
0.036,1.273,7.461,4.423,14.944
0.037,1.272,7.454,4.420,14.984
0.037,1.271,7.448,4.416,15.023
0.037,1.270,7.442,4.412,15.062
0.037,1.268,7.435,4.408,15.101
0.037,1.267,7.429,4.405,15.140
0.037,1.266,7.423,4.401,15.179
0.037,1.265,7.417,4.397,15.218
0.037,1.264,7.411,4.394,15.257
0.037,1.263,7.405,4.390,15.296
0.037,1.262,7.399,4.387,15.335
0.038,1.261,7.393,4.383,15.374
0.038,1.260,7.387,4.380,15.412
0.038,1.259,7.381,4.376,15.451
0.038,1.258,7.376,4.373,15.490
0.038,1.256,7.370,4.370,15.529
0.038,1.255,7.364,4.366,15.567
0.038,1.254,7.359,4.363,15.606
0.038,1.253,7.353,4.360,15.644
0.038,1.252,7.348,4.357,15.683
0.038,1.251,7.342,4.353,15.722
0.039,1.249,7.337,4.350,15.760
